会社コード,業種名,和文社名,住所,lat,lon,エリア
200438,情報・システム・ソフト,シンコム・システムズ・ジャパン（株）,東京都港区虎ノ門５－１３－１　虎ノ門４０ＭＴビル７階,35.6633809,139.7457635,虎ノ門・六本木
200440,医薬品,グラクソ・スミスクライン（株）,東京都港区赤坂１－８－１　赤坂インターシティＡＩＲ１６階,35.6700499,139.7427013,虎ノ門・六本木
200449,総合卸売,（株）ジェー・ガーバー商会,東京都千代田区西神田１－４－５　東光電気工事ビル５０１,35.699685,139.7571419,-
200478,食料品卸売,（株）ジャブラムジャパン,東京都武蔵野市吉祥寺本町２－１５－１９　ウイングガーデン,35.7074411,139.5777174,-
200494,貨物運送,ボロレ・ロジスティクス・ジャパン（株）,東京都中央区八丁堀３－１４－２　東八重洲シティービル３・５階,35.6757771,139.7757913,-
200509,精密機器卸売,スペクトラ・フィジックス（株）,東京都千代田区九段北４－１－２８　九段ファーストプレイス６階,35.6932605,139.7400551,-
200533,医薬品,メルクバイオファーマ（株）,東京都目黒区下目黒１－８－１　アルコタワー４階,35.6316957,139.7132982,-
200546,総合卸売,ＧＳジャパン（株）,東京都港区麻布台１－１１－１０　日総第２２ビル５階,35.6609204,139.7437874,虎ノ門・六本木
200548,他製造業,カールツァイスビジョンジャパン（株）,東京都千代田区麹町２－１０－９　住友不動産麹町ビル４号館,35.6854205,139.7405341,-
200617,鉄鋼・金属卸売,アレゲニー・テクノロジーズ・ジャパン（株）,東京都港区南青山２－２－３　ヒューリック青山外苑東通りビル５階,35.6714265,139.7242502,-
200625,化学卸売,バルスパーロック（株）,東京都江東区南砂２－３７－２　ロックペイントビル５階,35.6710194,139.8255783,-
200689,精密機器,オントゥ・イノベーション・ジャパン（株）,東京都品川区西五反田８－９－５　ＦＯＲＥＣＡＳＴ五反田ＷＥＳＴ１階,35.6209147,139.7199376,-
200700,電気機器,日機装サーモ（株）,東京都武蔵野市境２－４－２４,35.7063487,139.5437768,-
200731,医薬品,日本アルコン（株）,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー,35.6668216,139.7494178,虎ノ門・六本木
200736,電気機器卸売,サーモキング・ジャパン（株）,東京都品川区上大崎４－５－３７　本多電機ビル５階,35.6285128,139.7156311,-
200744,ホテル,日本スターウッド・ホテル（株）,東京都渋谷区恵比寿１－１８－１８　東急不動産恵比寿ビル２階,35.6475172,139.7139154,-
200770,食料品卸売,日本メープルリーフフーズ（株）,東京都港区虎ノ門２－３－１７　虎ノ門２丁目タワー１０階,35.6684084,139.7467615,虎ノ門・六本木
200772,他サービス,日本カルミック（株）,東京都千代田区九段北１－１１－５　グリーンオーク九段,35.6970228,139.751113,-
200780,機械卸売,日本クロネス（株）,東京都品川区西五反田２－１５－７　ジブラルタ生命五反田ビル２階,35.6259608,139.7211177,-
200785,その他卸売,日本ヒルズ・コルゲート（株）,東京都千代田区二番町５－２５　二番町センタービル７階,35.685087,139.735874,-
200797,医薬品,サノフィ（株）,東京都新宿区西新宿３－２０－２　東京オペラシティタワー,35.682955,139.6867214,-
200804,新聞・出版,ショット・ミュージック（株）,東京都千代田区内神田１－１０－１　平富ビル３階,35.690882,139.7666256,-
200810,輸送用機器卸売,アリソンジャパン（株）,東京都港区港南２－１６－１　品川イーストワンタワー３階,35.627763,139.7407736,-
200813,その他卸売,アコ・ブランズ・ジャパン（株）,東京都中野区本町１－３２－２　ハーモニータワー１４階,35.6961962,139.6834344,-
200823,コンサルティング,日本スペンサースチュアート（株）,東京都千代田区丸の内１－１－１　パレスビル５階,35.6845001,139.7612211,大丸有
200826,医薬品,日本セルヴィエ（株）,東京都文京区本郷１－２８－３４　本郷ＭＫビル,35.706048,139.7571819,-
200844,情報・システム・ソフト,ガートナージャパン（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー５階,35.6621409,139.7488929,虎ノ門・六本木
200849,食料品,モンデリーズ・ジャパン（株）,東京都品川区東品川４－１２－８　品川シーサイドイーストタワー１３階,35.6090599,139.74889,-
200852,機械卸売,ドレーゲルジャパン（株）,東京都品川区上大崎２－１３－１７　目黒東急ビル４階,35.6351186,139.718504,-
200865,精密機器卸売,日本ベーカーヒューズ（株）,東京都中央区晴海１－８－１０　晴海アイランドトリトンスクエアオフィスタワーＸ２３階,35.6573718,139.7827814,-
