会社コード,業種名,和文社名,住所,lat,lon
402864,情報・システム・ソフト,エスアールエムテクノロジーズプライベートリミテッド（日本支社）,東京都江東区木場２－７－１５　第一びる別館北棟６階,35.6701736,139.8042911
402879,その他卸売,フィスラージャパン（株）,東京都千代田区神田錦町２－２－１　ＫＡＮＤＡ　ＳＱＵＡＲＥ１１階,35.6931252,139.7632042
402880,その他卸売,（株）エコーネス,東京都中央区京橋３－７－５　近鉄京橋スクエア５階,35.675572,139.770437
402949,情報・システム・ソフト,アルデック・ジャパン（株）,東京都品川区東五反田１－７－１１　ＡＩＯＳ五反田アネックス４階,35.6276574,139.7262855
402965,機械卸売,ジョンソンヘルステックジャパン（株）,東京都港区海岸３－９－１５　Ｌｏｏｐ－Ｘビル７階,35.6386114,139.7540359
402977,コンサルティング,チャールス・テイラー・ジャパン（株）,東京都千代田区神田錦町２－１－８　竹橋ビル６階,35.6924506,139.7634709
403012,他小売,インターフォージャパンリミテッド（日本支社）,東京都中央区日本橋人形町１－７－７　笠原ビル６階,35.6849651,139.7825617
403026,情報・システム・ソフト,ノキアソリューションズ＆ネットワークス合同会社,東京都港区六本木６－１０－１　六本木ヒルズ森タワー,35.6607345,139.7292066
403031,情報・システム・ソフト,パロアルトネットワークス（株）,東京都千代田区内幸町２－１－６　日比谷パークフロント１５階,35.6708752,139.7536284
403058,電気機器卸売,日本ラントロニクス（株）,東京都港区虎ノ門４－３－１　城山トラストタワー東京赤坂法律事務所内,35.6646397,139.7430889
403068,食料品卸売,ケミン・ジャパン（株）,東京都千代田区五番町１２　五番町Ｋビル４階,35.6895364,139.7337686
403074,情報・システム・ソフト,クエスト・ソフトウェア（株）,東京都新宿区西新宿６－１０－１　日土地西新宿ビル１３階,35.6946036,139.6907536
403117,情報・システム・ソフト,ＴＳ　ＩＭＡＧＩＮＥ　Ｊａｐａｎ（株）,東京都港区六本木２－２－８　オーキッドプレイス六本木６階,35.6672608,139.7387344
403139,航空,ガルーダ・インドネシア（東京支店）,東京都千代田区丸の内３－３－１　新東京ビル,35.677514,139.7624926
403145,海運,ストルトニールセン・ジャパン（株）,東京都港区芝公園３－１－１３　アーバン芝公園ビル４階,35.6604738,139.7486112
403162,通信・放送,アイピースタージャパン（株）,東京都新宿区西新宿２－７－１　小田急第一生命ビル,35.6915156,139.6913635
403165,他サービス,（株）クリムゾンインタラクティブ・ジャパン,東京都千代田区外神田２－１４－１０　第２電波ビル４階,35.7024481,139.7691397
403169,映像・音楽,Ｄａｇｍｕｓｉｃ（有）,東京都中野区弥生町４－３５－２,35.6889539,139.6705703
403175,他サービス,Ｓｔｒａｋｅｒ　Ｊａｐａｎ（株）,東京都新宿区西新宿１－２６－２　新宿野村ビル３２階,35.6929509,139.6953653
403193,情報・システム・ソフト,ビューロー・ヴァン・ダイク・エレクトロニック・パブリッシング（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２０階,35.6621409,139.7488929
403196,情報・システム・ソフト,情報テクノロジー（株）,東京都港区虎ノ門５－１３－１　虎ノ門４０ＭＴビル７階,35.6633809,139.7457635
403202,情報・システム・ソフト,エメッセリーコンピューターソリューションズ（株）,東京都中野区東中野３－１９－１３　ビューステージ鈴木２階,35.7088152,139.6802302
403203,情報・システム・ソフト,（株）エヌフォー,東京都渋谷区千駄ケ谷３－１３－２２　第２５宮廷マンション９０１,35.676844,139.7059165
403209,他サービス,Ｐ．Ｊ．　Ｐａｒｋｅｒ（株）,東京都三鷹市井の頭３－１７－２１,35.6935683,139.5806433
403226,他小売,ＡＦＨ　Ｊａｐａｎ合同会社,東京都中央区銀座６－９－１０,35.669641,139.7630316
403229,医薬品,ラボコープ・ディベロップメント・ジャパン（株）,東京都中央区晴海１－８－１１　晴海トリトンスクエアオフィスタワーＹ８階,35.6573718,139.7827814
403236,ホテル,（株）イシン・ホテルズ・グループ,東京都中央区銀座１－２－３,35.675156,139.7679055
403247,精密機器卸売,クックメディカルジャパン合同会社,東京都中野区中野４－１０－１　中野セントラルパークイースト,35.7078871,139.6629152
403262,海運,フェドナヴアジアリミテッド（日本支店）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２５階,35.6621409,139.7488929
403264,通信・放送,オービチューン（株）,東京都渋谷区渋谷１－２０－２１,35.6625402,139.7034681
